name,circonscription,coalition,image_url
Ibrahima Baba SALL,Bakel,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411328120_post.jpg
Moussa FALL,Pikine,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663443451_post.jpg
Abdoulaye VILANE,Kaffrine,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1508176823_post.JPG
Fanta SALL,Koungheul,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1508143192_post.JPG
Mamadou DIAW,Matam,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507744546_post.JPG
Aminata TOURÉ,Kaolack,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663725975_post.jpg
Sokhna MBODJ,Dagana,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Daba WAGNANE,Kebemer,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663726311_post.jpg
Malick FALL,Diourbel,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507689633_post.JPG
Barthélémy Toye DIAS,Dakar,yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663423140_post.jpg
Haniyeu MBENGUE,Linguere,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663576720_post.jpg
El Hadji Omar YOUM,Mbour,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663097354_post.JPG
Mame Diarra FAM,Pikine,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663444195_post.jpg
Awa DIÈNE,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663358929_post.jpg
Bacary DIÉDHIOU,Bignona,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663430712_post.JPG
Barane FOFANA,Afrique du Centre,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
